,transcription,action,object,location
0,Turn on the kitchen lights,activate,lights,kitchen
1,Turn up the temperature,increase,heat,none
2,OK now switch the main language to Chinese,change language,Chinese,none
3,Turn down the bathroom temperature,decrease,heat,washroom
4,Change the language,change language,none,none
5,Turn sound down,decrease,volume,none
6,Decrease the heating in the washroom,decrease,heat,washroom
7,"It’s too loud, turn it down",decrease,volume,none
8,Change language,change language,none,none
9,Turn the lights on in the kitchen,activate,lights,kitchen
10,Decrease the heating in the bedroom,decrease,heat,bedroom
11,Turn up the heat in the washroom,increase,heat,washroom
12,Decrease the heating in the bedroom,decrease,heat,bedroom
13,Turn the bedroom heat up,increase,heat,bedroom
14,Increase the temperature,increase,heat,none
15,Increase the heating in the washroom,increase,heat,washroom
16,Turn down the washroom temperature,decrease,heat,washroom
17,Turn the temperature down in the bathroom,decrease,heat,washroom
18,Turn the temperature down in the washroom,decrease,heat,washroom
19,Set the language,change language,none,none
20,Heat down,decrease,heat,none
21,I need to practice my English. Switch the language,change language,English,none
22,"I need to hear this, increase the volume",increase,volume,none
23,OK now switch the main language to Chinese,change language,Chinese,none
24,Turn the lamp off,deactivate,lamp,none
25,Bedroom heat up,increase,heat,bedroom
26,Bring me my shoes,bring,shoes,none
27,Decrease the temperature in the bathroom,decrease,heat,washroom
28,Turn the volume up,increase,volume,none
29,Get me the newspaper,bring,newspaper,none
30,I can't hear that,increase,volume,none
31,Set language to Chinese,change language,Chinese,none
32,Fetch my socks,bring,socks,none
33,Washroom heat up,increase,heat,washroom
34,Switch on the kitchen lights,activate,lights,kitchen
35,Turn the lamp off,deactivate,lamp,none
36,Kitchen lights off,deactivate,lights,kitchen
37,Change system language,change language,none,none
38,Turn down the heat in the bathroom,decrease,heat,washroom
39,Switch the bedroom lights on,activate,lights,bedroom
40,Lights off in the kitchen,deactivate,lights,kitchen
41,Increase the heating,increase,heat,none
42,Turn the lights off in the kitchen,deactivate,lights,kitchen
43,Decrease the temperature in the washroom,decrease,heat,washroom
44,Lights on in the bathroom,activate,lights,washroom
45,Bring socks,bring,socks,none
46,Make the music louder,increase,volume,none
47,"It’s too loud, turn it down",decrease,volume,none
48,"I need to hear this, increase the volume",increase,volume,none
